nupdates,policy_loss,d_targ,value_loss,eplenmean,serial_timesteps,eprewmean,policy_entropy,clipfrac,explained_variance,fps,time_elapsed,approxkl,lr,total_timesteps
299,-0.00634127,0.006,0.038793,890.32,153088,1325.75044956,0.399798,0.0664062,0.6260749101638794,5302,940.9918737411499,0.005255,0.0003,4898816
300,-0.00577205,0.006,0.051497,896.13,153600,1344.24021043,0.395647,0.0674133,0.6219070851802826,5276,944.0971765518188,0.00524914,0.0003,4915200
301,-0.0057787,0.006,0.0399161,917.56,154112,1391.14745849,0.39551,0.0872803,0.44290685653686523,5265,947.2110300064087,0.006429,0.0003,4931584
302,-0.00584032,0.006,0.0605733,950.9,154624,1481.13512977,0.389507,0.0610809,0.6330693662166595,5269,950.3206207752228,0.00504558,0.0003,4947968
303,-0.00503035,0.006,0.0371545,948.23,155136,1481.76587118,0.385007,0.0660706,0.6891722977161407,5342,953.3889057636261,0.00506013,0.0003,4964352
304,-0.00547853,0.006,0.0634459,968.23,155648,1508.84537999,0.381229,0.0665588,0.4809131622314453,5298,956.4816823005676,0.00522786,0.0003,4980736
305,-0.00557013,0.006,0.0408125,968.23,156160,1515.97579618,0.369375,0.0739746,0.649128794670105,5306,959.5695161819458,0.00573129,0.0003,4997120
306,-0.00561347,0.006,0.0615197,951.79,156672,1499.81924885,0.359055,0.0601196,0.6591889560222626,5261,962.6838295459747,0.00494723,0.0003,5013504
307,-0.00553218,0.006,0.0521014,910.7,157184,1421.63982401,0.351188,0.054306,0.7159526646137238,5235,965.8138692378998,0.00448757,0.0003,5029888
308,-0.00620856,0.006,0.0471791,906.49,157696,1391.72331412,0.342173,0.0682526,0.7361649870872498,5217,968.9556677341461,0.00542126,0.0003,5046272
309,-0.00617402,0.006,0.0507882,905.64,158208,1405.10359887,0.33873,0.0695343,0.7013027369976044,5228,972.0895335674286,0.00530844,0.0003,5062656
310,-0.00515266,0.006,0.0518513,893.69,158720,1384.5743313,0.335117,0.0640564,0.6700981855392456,5348,975.1530003547668,0.00515171,0.0003,5079040
311,-0.00512129,0.006,0.0469312,897.76,159232,1372.99273975,0.331249,0.0571289,0.6078072786331177,5306,978.2410764694214,0.00473715,0.0003,5095424
312,-0.00526404,0.006,0.0696682,879.74,159744,1353.88873949,0.321247,0.0672607,0.6421269476413727,5255,981.3592319488525,0.00517142,0.0003,5111808
313,-0.00641068,0.006,0.0342693,885.69,160256,1368.04184743,0.312655,0.0675049,0.8325154185295105,5295,984.4534039497375,0.00536154,0.0003,5128192
314,-0.00574807,0.006,0.0701678,834.31,160768,1285.37579609,0.300381,0.0730591,0.5096211433410645,5318,987.5344424247742,0.00550917,0.0003,5144576
315,-0.00594666,0.006,0.0429721,817.23,161280,1272.3207354,0.286692,0.0678864,0.687384307384491,5229,990.6679465770721,0.00532883,0.0003,5160960
316,-0.00599156,0.006,0.0537278,821.53,161792,1290.81796384,0.282995,0.0686493,0.5376204550266266,5319,993.7486340999603,0.00537615,0.0003,5177344
317,-0.00516932,0.006,0.0541072,851.33,162304,1340.26066121,0.27603,0.0666656,0.09205222129821777,5291,996.8455221652985,0.00522489,0.0003,5193728
318,-0.00511421,0.006,0.060917,848.78,162816,1378.63804179,0.258635,0.0542603,0.5250018537044525,5298,999.9382617473602,0.00457242,0.0003,5210112
319,-0.00505043,0.006,0.0506126,872.12,163328,1430.62580119,0.251716,0.0556183,0.6878662407398224,5353,1002.9990706443787,0.00467373,0.0003,5226496
320,-0.00621849,0.006,0.0516011,902.26,163840,1475.14439022,0.242805,0.083725,0.521587610244751,5272,1006.106657743454,0.00632601,0.0003,5242880
321,-0.00649269,0.006,0.0518738,907.79,164352,1482.21719714,0.236604,0.085144,0.6143203973770142,5213,1009.2496869564056,0.00638024,0.0003,5259264
322,-0.00633348,0.006,0.0558067,920.15,164864,1498.47096409,0.234523,0.0617523,0.6496021747589111,5324,1012.3270449638367,0.00506499,0.0003,5275648
323,-0.00546201,0.006,0.0431597,934.09,165376,1498.20059568,0.232595,0.0638275,0.6857968866825104,5266,1015.4381673336029,0.00501652,0.0003,5292032
324,-0.00614087,0.006,0.0666026,928.96,165888,1466.36340897,0.226743,0.0706177,0.5122847855091095,5186,1018.5990788936615,0.00545474,0.0003,5308416
325,-0.00583769,0.006,0.0424919,913.25,166400,1439.39197312,0.216353,0.082077,0.6502984762191772,5003,1021.8737831115723,0.00615414,0.0003,5324800
326,-0.00536263,0.006,0.0619402,913.67,166912,1432.34329668,0.206416,0.0699463,0.5364616811275482,5109,1025.0805926322937,0.00559911,0.0003,5341184
327,-0.0054803,0.006,0.0440471,901.68,167424,1436.7889774,0.1975,0.0628357,0.4865974187850952,5115,1028.2836966514587,0.00501879,0.0003,5357568
328,-0.00586294,0.006,0.0672858,903.04,167936,1455.26280322,0.195148,0.0606689,0.3291432857513428,5224,1031.4200510978699,0.00493941,0.0003,5373952
329,-0.00572926,0.006,0.0530452,885.64,168448,1442.39375635,0.193499,0.0693512,0.37539172172546387,5204,1034.5684928894043,0.00538699,0.0003,5390336
330,-0.00511422,0.006,0.0643669,914.79,168960,1516.832751,0.193814,0.0643311,0.3976607322692871,5211,1037.7126157283783,0.00514117,0.0003,5406720
331,-0.00533457,0.006,0.0469722,903.99,169472,1497.40699531,0.193653,0.0527649,0.719762533903122,5193,1040.8677096366882,0.00441328,0.0003,5423104
332,-0.00625609,0.006,0.0677257,913.94,169984,1511.80102104,0.184121,0.0710449,0.5873941481113434,5238,1043.995543718338,0.00547563,0.0003,5439488
333,-0.00546343,0.006,0.0576123,893.46,170496,1486.48523446,0.177344,0.075943,0.3913394808769226,5132,1047.187902212143,0.00578336,0.0003,5455872
334,-0.00553563,0.006,0.0567396,889.91,171008,1488.76564966,0.167107,0.08078,0.05758410692214966,4909,1050.525625705719,0.00620709,0.0003,5472256
335,-0.00509363,0.006,0.058431,913.42,171520,1538.03736489,0.155476,0.0642395,0.024474620819091797,5076,1053.7532153129578,0.00529592,0.0003,5488640
336,-0.00625988,0.006,0.0702845,910.24,172032,1541.21198651,0.151128,0.0812683,0.34352266788482666,5202,1056.9028668403625,0.00613954,0.0003,5505024
337,-0.00514223,0.006,0.0481667,905.1,172544,1543.96069778,0.145114,0.0671234,0.3754485845565796,5126,1060.0990374088287,0.00525833,0.0003,5521408
338,-0.00575192,0.006,0.0668485,920.35,173056,1584.80701894,0.136721,0.0709076,0.3489912152290344,5222,1063.2367749214172,0.00556579,0.0003,5537792
339,-0.00550196,0.006,0.0479329,933.21,173568,1606.49412197,0.128455,0.0693665,0.48159855604171753,5264,1066.3494846820831,0.00540845,0.0003,5554176
340,-0.00528724,0.006,0.0638196,934.5,174080,1605.61127629,0.121742,0.0706787,0.3227524757385254,5351,1069.4115390777588,0.00547157,0.0003,5570560
341,-0.00452407,0.006,0.054352,924.41,174592,1577.1703416,0.115229,0.0547791,0.4145374894142151,5345,1072.4770059585571,0.00458006,0.0003,5586944
342,-0.00550127,0.006,0.0595425,942.65,175104,1614.92536525,0.109089,0.0758514,0.5377520024776459,5269,1075.5866792201996,0.00578643,0.0003,5603328
343,-0.00603275,0.006,0.0714506,935.28,175616,1624.24674226,0.1035,0.0795898,0.5243159830570221,5343,1078.6532871723175,0.00604436,0.0003,5619712
344,-0.00572655,0.006,0.0591297,909.16,176128,1558.69342186,0.103108,0.0805511,0.6934578716754913,5250,1081.7739379405975,0.00616703,0.0003,5636096
345,-0.0062036,0.006,0.0561434,931.76,176640,1595.70436677,0.0980675,0.0914612,0.556041806936264,5331,1084.8475322723389,0.00684587,0.0003,5652480
346,-0.00603674,0.006,0.0642305,924.07,177152,1600.24524385,0.0941427,0.0902863,0.4408116936683655,5321,1087.9266617298126,0.00671917,0.0003,5668864
