fps,lr,policy_loss,total_timesteps,approxkl,time_elapsed,eplenmean,d_targ,serial_timesteps,value_loss,explained_variance,beta,eprewmean,policy_entropy,nupdates
5286,0.0010125,-0.00643376,11468800,0.0108409,2222.0237629413605,894.09,0.012,358400,0.0514433,0.7699344158172607,0.732254,2561.52379637,0.698055,700
5324,0.0010125,-0.00697939,11485184,0.0121314,2225.1030855178833,909.73,0.012,358912,0.0762867,0.7876968532800674,0.732254,2550.08465414,0.706865,701
5354,0.0010125,-0.00459697,11501568,0.0103414,2228.1635241508484,881.91,0.012,359424,0.0539308,0.6956776082515717,0.732254,2448.75210847,0.71933,702
5299,0.0010125,-0.00885595,11517952,0.0129389,2231.25581073761,876.37,0.012,359936,0.0853252,0.5601794421672821,0.732254,2402.62730689,0.721859,703
5344,0.0010125,-0.00701838,11534336,0.0123704,2234.3219091892242,882.39,0.012,360448,0.0458222,0.7982541769742966,0.732254,2430.30622347,0.724669,704
5346,0.0010125,-0.00533239,11550720,0.0121659,2237.3865928649902,904.42,0.012,360960,0.0933903,0.3310431241989136,0.732254,2472.51666486,0.728184,705
5288,0.0010125,-0.00668823,11567104,0.0125055,2240.4849717617035,896.78,0.012,361472,0.038302,0.8156262934207916,0.732254,2455.53760543,0.741508,706
5339,0.0010125,-0.00717919,11583488,0.0117664,2243.5536193847656,895.11,0.012,361984,0.0938614,0.5412245392799377,0.732254,2493.8577216,0.743331,707
4977,0.0010125,-0.00741618,11599872,0.0130429,2246.845286846161,848.38,0.012,362496,0.0687889,0.15635883808135986,0.732254,2362.03014559,0.76071,708
4976,0.0010125,-0.00610438,11616256,0.0105398,2250.1378791332245,848.99,0.012,363008,0.0676601,0.09755182266235352,0.732254,2401.27702256,0.775184,709
5090,0.0010125,-0.00658628,11632640,0.0123515,2253.3570919036865,857.7,0.012,363520,0.0683619,0.5977218747138977,0.732254,2465.48638744,0.78851,710
5162,0.0010125,-0.00806913,11649024,0.0125966,2256.5311856269836,832.36,0.012,364032,0.0825714,0.7518980503082275,0.732254,2363.1623727,0.782996,711
5250,0.0010125,-0.00462736,11665408,0.0119234,2259.6518881320953,818.67,0.012,364544,0.0618389,0.6753979027271271,0.732254,2335.46548533,0.78198,712
5157,0.0010125,-0.00799559,11681792,0.0116606,2262.828866004944,835.25,0.012,365056,0.0813538,0.6184737384319305,0.732254,2381.02974666,0.778615,713
4995,0.0010125,-0.00970446,11698176,0.0123994,2266.108853816986,828.01,0.012,365568,0.0690839,0.779893159866333,0.732254,2323.63355681,0.767571,714
4892,0.0010125,-0.0122613,11714560,0.0124469,2269.4578812122345,785.22,0.012,366080,0.078395,0.6039898097515106,0.732254,2161.45528451,0.773786,715
4971,0.0010125,-0.0123125,11730944,0.0123407,2272.753771543503,775.15,0.012,366592,0.0757443,0.6096188724040985,0.732254,2129.35549362,0.781775,716
5144,0.0010125,-0.00563258,11747328,0.0120848,2275.939065694809,786.7,0.012,367104,0.075616,0.5993629097938538,0.732254,2184.50554309,0.779919,717
5015,0.0010125,-0.0067802,11763712,0.0114088,2279.206165790558,800.41,0.012,367616,0.0532724,0.7848027050495148,0.732254,2188.04211176,0.785443,718
5122,0.0010125,-0.004776,11780096,0.00980406,2282.4051625728607,796.53,0.012,368128,0.0854622,0.3730263113975525,0.732254,2225.42989488,0.795816,719
5185,0.0010125,-0.00486803,11796480,0.00983096,2285.5652284622192,808.74,0.012,368640,0.065826,0.6912271678447723,0.732254,2271.93010919,0.798134,720
5189,0.0010125,-0.00672455,11812864,0.0109353,2288.722508430481,854.01,0.012,369152,0.0825594,0.7532918006181717,0.732254,2404.50594095,0.802009,721
5336,0.0010125,-0.013149,11829248,0.0152429,2291.7931900024414,854.62,0.012,369664,0.0468236,0.8649680465459824,0.732254,2375.47412001,0.816723,722
5322,0.0010125,-0.00577592,11845632,0.0114904,2294.8720984458923,824.6,0.012,370176,0.0874193,0.2655409574508667,0.732254,2295.55409713,0.827376,723
5328,0.0010125,-0.00680464,11862016,0.0106933,2297.9470069408417,802.22,0.012,370688,0.0770155,0.14277362823486328,0.732254,2234.82905351,0.833202,724
5343,0.0010125,-0.00650898,11878400,0.0118919,2301.0133130550385,766.97,0.012,371200,0.0890799,0.5696854591369629,0.732254,2140.02951551,0.816623,725
5313,0.0010125,-0.00513804,11894784,0.00968922,2304.0973513126373,750.13,0.012,371712,0.0653653,0.7793585509061813,0.732254,2113.21573583,0.804094,726
5346,0.0010125,-0.00671327,11911168,0.0113914,2307.1620712280273,718.3,0.012,372224,0.0822898,0.5411379039287567,0.732254,2039.75413138,0.804922,727
5179,0.0010125,-0.00651817,11927552,0.0109956,2310.3255984783173,720.59,0.012,372736,0.0781783,0.6753373444080353,0.732254,2004.22264807,0.799414,728
5120,0.0010125,-0.00832073,11943936,0.0122979,2313.525946855545,730.5,0.012,373248,0.0728461,0.610183984041214,0.732254,2038.69534453,0.788031,729
5225,0.0010125,-0.00866745,11960320,0.0131991,2316.6619720458984,770.47,0.012,373760,0.0537663,0.6057321429252625,0.732254,2126.28415394,0.782082,730
5364,0.0010125,-0.00627822,11976704,0.0104101,2319.7167456150055,775.17,0.012,374272,0.0879624,0.6260344684123993,0.732254,2199.53475171,0.790303,731
5298,0.0010125,-0.00698181,11993088,0.0126713,2322.809222459793,798.35,0.012,374784,0.0647997,0.761151522397995,0.732254,2246.66640873,0.773642,732
5273,0.0010125,-0.00725976,12009472,0.0110211,2325.9165456295013,846.44,0.012,375296,0.084935,0.7560559064149857,0.732254,2407.78367293,0.763143,733
5400,0.0010125,-0.0059988,12025856,0.0107493,2328.9520428180695,825.58,0.012,375808,0.0668311,0.7498119175434113,0.732254,2322.44931241,0.77122,734
5348,0.0010125,-0.00553823,12042240,0.00954079,2332.015692472458,802.21,0.012,376320,0.0734109,0.25048327445983887,0.732254,2256.01630411,0.768614,735
5288,0.0010125,-0.00669597,12058624,0.0104655,2335.1139676570892,814.49,0.012,376832,0.0646104,0.06449365615844727,0.732254,2296.91557977,0.758989,736
5324,0.0010125,-0.00612439,12075008,0.011628,2338.1912767887115,829.04,0.012,377344,0.0853902,0.09704101085662842,0.732254,2378.54465103,0.743838,737
5321,0.0010125,-0.00644614,12091392,0.0113396,2341.270598888397,823.81,0.012,377856,0.0569974,0.8431817293167114,0.732254,2340.69190649,0.737418,738
5385,0.0010125,-0.00548132,12107776,0.0107784,2344.313306570053,858.31,0.012,378368,0.0672934,0.5404770076274872,0.732254,2451.23834717,0.736138,739
5307,0.0010125,-0.00746933,12124160,0.0117023,2347.4007530212402,869.97,0.012,378880,0.0727179,0.05891430377960205,0.732254,2527.7898924,0.746378,740
5349,0.0010125,-0.00546676,12140544,0.0112847,2350.4638414382935,878.36,0.012,379392,0.072611,0.4421854019165039,0.732254,2542.48135211,0.767162,741
5310,0.0010125,-0.00641413,12156928,0.0125424,2353.549254655838,878.94,0.012,379904,0.0819919,0.6361805200576782,0.732254,2538.68990373,0.785737,742
5312,0.0010125,-0.0044165,12173312,0.0108252,2356.633761405945,886.07,0.012,380416,0.055344,0.8519716113805771,0.732254,2517.69543035,0.794127,743
5308,0.0010125,-0.00547042,12189696,0.0113271,2359.720520734787,886.72,0.012,380928,0.0754109,0.7603647708892822,0.732254,2458.29467935,0.804155,744
5312,0.0010125,-0.0066024,12206080,0.0108111,2362.8048372268677,871.23,0.012,381440,0.0610221,0.6785208880901337,0.732254,2434.46880093,0.812523,745
5288,0.0010125,-0.00797063,12222464,0.0110019,2365.9030635356903,856.11,0.012,381952,0.0828572,0.5734399557113647,0.732254,2338.55850735,0.79271,746
5298,0.0010125,-0.00585318,12238848,0.0109865,2368.995630264282,860.91,0.012,382464,0.0503926,0.36586517095565796,0.732254,2346.81308168,0.777673,747
4999,0.0010125,-0.00565231,12255232,0.0100144,2372.2729263305664,853.0,0.012,382976,0.087847,0.5156489312648773,0.732254,2353.1160743,0.781002,748
5097,0.0010125,-0.00602148,12271616,0.0114703,2375.487668991089,815.85,0.012,383488,0.0702006,0.7325363755226135,0.732254,2301.299263,0.794498,749
5065,0.0010125,-0.00829382,12288000,0.0121673,2378.722460269928,797.88,0.012,384000,0.0771451,0.42306435108184814,0.732254,2257.07265063,0.787198,750
5135,0.0010125,-0.00655799,12304384,0.0110367,2381.915454149246,792.77,0.012,384512,0.0744763,0.4219645857810974,0.732254,2279.71004781,0.774908,751
5139,0.0010125,-0.00531359,12320768,0.0110515,2385.1037294864655,807.81,0.012,385024,0.0648299,0.6518441140651703,0.732254,2310.88994862,0.783006,752
